评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
梵梵,有没有可爱的成都宝宝可以去玩的时候帮代代有偿,有没有可爱的成都宝宝可以去玩的时候帮代代有偿,有没有 可爱 成都 宝宝 代代 有偿,0,该评论以询问方式寻求有偿代购服务，使用了“可爱的成都宝宝”等亲切称呼，但整体表达的是客观需求，未包含明显的情感倾向或评价性词汇，属于中性信息交流。
企鹅鹅鹅鹅鹅,woc！,woc,woc,-1,"该评论使用了""woc""这一网络用语，通常作为感叹词表达惊讶、不满或愤怒等负面情绪，缺乏具体语境但语气强烈，整体情感倾向为负面。"
不取名,我那个破寝室挂都挂不下😥,我那个破寝室挂都挂不下,寝室 挂不下,-1,评论中使用了“破寝室”和“挂都挂不下”等表达，带有明显的抱怨和不满情绪，暗示对住宿条件的不满和无奈，整体情感倾向为负面。
脆皮粗薯,omg好喜欢,omg好喜欢,omg 喜欢,1,评论中使用了“omg”这一表示惊喜的感叹词和“好喜欢”这一明确表达喜爱的积极词汇，直接传递出强烈的赞赏与愉悦情绪，整体情感倾向为正面。
xx,成都是吧。,成都是吧,成都,0,该评论仅提及“成都”这一地点，没有表达明确的情感倾向或评价性内容，属于中性陈述。
脆皮鸭鉴赏家,求代购,求代购,代购,0,该评论仅表达“求代购”的需求，是一种客观的请求或询问，没有使用明显的情感词汇，也未表现出赞赏、批评或情绪倾向，因此属于中性表达。
📷灰原酱,完了，有阿尼亚,完了 有阿尼亚,尼亚,-1,评论中的“完了”带有明显的消极和担忧情绪，暗示对阿尼亚的出现感到不安或不满，整体表达了一种负面的情感倾向。
尧一尧,我超爱！！！！ 救命,我超爱 救命,超爱 救命,1,该评论使用了“我超爱”这一强烈表达喜爱的网络用语，以及“救命”这一夸张语气词来强调激动和兴奋的情绪，整体表达了对内容的极度喜爱和热情支持，情感倾向明显为正面。
卡宝打工日记,都太好看了啊啊啊,都太好看了啊,好看,1,该评论使用了“太好看了”这一强烈赞美词汇，直接表达了对内容的喜爱和欣赏，情感倾向明确且积极。
momo,啊啊啊啊，好看,啊 好看,好看,1,"该评论使用了""好看""这一明确表达欣赏和喜爱的积极词汇，简短直接地传达了肯定的态度，整体情感倾向为正面。"
蛋挞大人,秦彻,秦彻,秦彻,0,该评论仅提及角色名称“秦彻”，未包含任何情感色彩或评价性词汇，无法判断具体情感倾向，属于中性陈述。
番茄妙蛋,好帅啊,好帅啊,好帅,1,评论中使用了“好帅啊”这一直接表达赞美和喜爱的积极词汇，明确表达了对对象外貌或表现的欣赏，整体情感倾向明显为正面。
不吃螺蛳粉女士,找到了兼职发展方向🫰🏻,找到了兼职发展方向,找到 兼职 发展 方向,1,该评论表达了“找到了兼职发展方向”的积极进展，使用“找到了”这一完成态动词，传递出明确、肯定的成就感和对未来的乐观期待，整体情感倾向为正面。
小红薯66F555FE,当爱好可以，想要以此为生好难！难难难！！！！,当爱好可以 想要以此为生好难 难,爱好 想要 以此 为生 好难,-1,评论中反复强调“好难”、“难”，表达了将爱好转化为职业的艰难与挫败感，带有明显的无奈和负面情绪，整体情感倾向为负面。
bian秘大王,芙芙官那个真的好好看，遇见的话我真的会买,芙芙官那个真的好好看 遇见的话我真的会买,好好看 遇见,1,评论中使用了“真的好好看”、“真的会买”等积极表达，明确表达了对“芙芙官”产品的喜爱和购买意愿，整体情感倾向为正面。
归陆（见过林俊杰版）,好美啊，我也想要剪纸与二次元的混合,好美啊 我也想要剪纸与二次元的混合,好美 想要 剪纸 二次元 混合,1,评论中使用了“好美啊”、“想要”等积极词汇，表达了对剪纸与二次元混合风格的喜爱和向往，整体情感倾向为正面。
张张,我操！,我操,我操,-1,该评论使用了粗俗的感叹词，通常用于表达强烈的负面情绪，如愤怒、震惊或不满。这种措辞带有明显的攻击性和宣泄感，整体情感倾向为负面。
seiso,这种和橡皮章是不是很像,这种和橡皮章是不是很像,橡皮 是不是,0,该评论仅询问与橡皮章的相似性，属于客观比较和提问，没有表达明显的积极或消极情绪，因此情感倾向为中性。
鳐鱼（长期接缠花剪纸）,这题我会,这题我会,这题 我会,0,该评论仅表示对问题的熟悉或自信，没有表达明显的情感倾向，属于中性陈述。
躡雲,好厲害啊,好厲害啊,厲害,1,该评论使用了“好厲害啊”这一明确表达赞赏的积极词汇，直接表达了对目标对象的钦佩和肯定，整体情感倾向为正面。
阿尧要好好踢球⚽,这是干什么！！我的钱包！！…,这是干什么 我的钱包,这是 干什么 钱包,-1,评论中“这是干什么”表达困惑或不满，“我的钱包”暗示经济压力或消费顾虑，整体透露出对某事物可能带来经济负担的担忧和负面情绪。
星美,老天爷能不能给我一点手工,老天爷能不能给我一点手工,老天爷 手工,-1,评论中“老天爷能不能给我一点手工”表达了强烈的渴望和无奈，使用“老天爷”带有祈求或抱怨的语气，暗示现实中的缺失或挫折感，整体情感倾向为负面，反映了对现状的不满和无力感。
ㅤㅤ,哇塞哇塞哇塞真的会想买啊,哇塞哇塞哇塞真的会想买啊,哇塞 哇塞 哇塞 会想,1,评论中使用了“哇塞”的重复感叹和“真的会想买啊”的直接表达，传递出强烈的兴奋感和购买欲望，整体情感积极且充满期待。
Cyberpunk2077,想要这个，要不你学一下,想要这个 要不你学一下,想要,0,该评论表达了“想要这个”的意愿，但后半句“要不你学一下”带有建议或调侃的语气，整体没有明显的积极或消极情感词汇，属于中性表达。
一袋萌宠ゃ,那我必须来张我做的,那我必须来张我做的,必须,1,"该评论表达了用户对自己作品的自信和分享意愿，""必须来""体现了积极态度和自豪感，整体情感倾向为正面。"
West,傅融那个好好看,傅融那个好好看,傅融 好好看,1,评论中使用了“好好看”这一积极评价词汇，直接表达了对傅融形象的喜爱和赞赏，整体情感倾向明显为正面。
麻辣毛豆,玛雅,玛雅,玛雅,0,该评论仅包含语气词“玛雅”，通常用于表达惊讶或感叹，但缺乏具体的情感指向或评价内容，无法明确判断其正面或负面倾向，因此归类为中性。
柒柒不好听,想问一下，授权费是不是很高,想问一下 授权费是不是很高,授权 是不是,0,该评论仅询问授权费是否高昂，属于客观的信息咨询，未表达个人情感或评价，因此情感倾向为中性。
清语千秋,快看，有小哥和瞎子,快看 有小哥和瞎子,小哥 瞎子,1,该评论使用了“快看”表达惊喜和兴奋，并直接提及角色“小哥和瞎子”，显示出对内容的熟悉和喜爱。整体语气轻松积极，体现了观众对角色出现的期待和愉悦情绪。
小万小w,宝宝泥好牛…,宝宝泥好牛,宝宝 泥好,1,评论中“宝宝”是亲昵称呼，“好牛”是网络用语表示非常厉害或出色，整体表达了对对象的喜爱和高度赞赏，情感倾向积极正面。
汪hero,👉🏻锦里 正门进去一百米看到一个小摊就看到了～小的正方形的3️⃣5️⃣  大的长方形的5️⃣5️⃣,锦里 正门进去一百米看到一个小摊就看到了 小的正方形的 大的长方形的,锦里 正门 进去 一百米 看到 小摊 看到 正方形 长方形,0,该评论仅客观描述了在锦里看到小摊和商品形状的事实，未使用任何情感词汇或表达个人喜好，属于中性陈述。
Floret,好眼熟，果然是锦里这家，哈哈哈今年暑假也去的成都，这个家好火，在闲鱼上都有,好眼熟 果然是锦里这家 哈今年暑假也去的成都 这个家好火 在闲鱼上都有,眼熟 锦里 这家 今年 暑假 成都 家好 闲鱼,1,评论中提到“好眼熟”、“好火”等词汇，表达了对成都锦里这家店的熟悉和认可，并通过分享个人经历（暑假去成都）传递出积极的回忆和兴趣，整体情感倾向为正面。
潘潘 Penny,我似乎也可以掐丝珐琅。看出他俩是谁了吗,我似乎也可以掐丝珐琅 看出他俩是谁了吗,似乎 掐丝 珐琅 看出 他俩,0,该评论仅陈述了用户自己可能具备掐丝珐琅技能，并以提问方式询问他人是否能识别出作品中的角色，整体语气平实，没有表达明显的积极或消极情绪，属于中性陈述。
汪hero,你这个起点有点高啊,你这个起点有点高啊,起点,0,该评论仅陈述了“起点有点高”这一客观事实，没有使用明显的积极或消极词汇，也没有表达明确的情感倾向，属于中性评价。
小段,好看,好看,好看,1,"评论中使用了""好看""这一积极词汇，直接表达了对内容或外观的赞赏与喜爱，整体情感倾向明确为正面。"
汪hero,小的正方形的3️⃣5️⃣  大的长方形的5️⃣5️⃣,小的正方形的 大的长方形的,正方形 长方形,0,该评论仅描述了物品的形状特征（“小的正方形”、“大的长方形”），属于客观陈述，未表达任何情感色彩或主观评价，因此情感倾向为中性。
夏以萱🍎🐟INFJ,55带框，不带框45,带框 不带框,带框 不带,0,该评论仅列举了“带框”和“不带框”两种选项或状态，没有表达任何情感色彩或主观评价，属于客观描述，因此情感倾向为中性。
思辰（退网）,姐妹多少啊这个,姐妹多少啊这个,姐妹,0,该评论仅询问“姐妹多少啊这个”，属于一般性询问或寻求信息，没有表达明确的情感倾向，也没有使用积极或消极的词汇，因此判断为中性。
小小小小,哇！！！超赞,哇 超赞,超赞,1,评论使用了“哇”和“超赞”等强烈积极的感叹词和形容词，直接表达了高度的赞赏和兴奋情绪，整体情感倾向明显为正面。
汪hero,太有实力了,太有实力了,太有 实力,1,评论中使用了“太有实力了”这一表达，其中“太”字增强了语气，“有实力”是明确的褒义词，整体传递出对对象能力或表现的强烈赞赏与肯定，情感倾向积极正面。
H.Z.P,这是在金沙遗址哪里啊，五一假期要去,这是在金沙遗址哪里啊 五一假期要去,金沙 遗址 五一 假期,0,该评论仅询问金沙遗址的具体位置并表达五一假期计划前往的意图，属于客观信息询问和行程陈述，没有使用明显的情感词汇或表达个人态度，整体情感倾向为中性。
